,X_O2
0,0.04499999993876639
1,0.04499999963671647
2,0.044999998630398594
3,0.04499999519497072
4,0.04499998615289455
5,0.044999974754873384
6,0.04499995796743994
7,0.044999935167715215
8,0.04499990807923488
9,0.044999868454255694
10,0.04499982776091088
11,0.044999767168890537
12,0.0449996907949972
13,0.04499959462305853
14,0.04499945153423783
15,0.04499919885794272
16,0.044998798238254235
17,0.04499800360326911
18,0.044996771773293295
19,0.04499467176127536
20,0.044993211949954925
21,0.044992760428132286
22,0.04499251902939446
23,0.04499205514561154
24,0.044991133637815886
25,0.04498973598129117
26,0.04498891778797223
27,0.04498862752685425
28,0.04498846598735138
29,0.04498834368233968
30,0.044988050843792725
31,0.04498761192058354
32,0.044987329758539
33,0.04498722461057705
34,0.04498718562393662
35,0.044987170018786
36,0.04498716441650135
37,0.04498716310462217
38,0.044987162874295016
39,0.04498716285725195
