,X_O2
0,0.06809999986231667
1,0.06809999878071654
2,0.06809999504337448
3,0.06809998552460192
4,0.06809996515209839
5,0.06809993434517395
6,0.06809989520337709
7,0.06809983071665453
8,0.06809976123756926
9,0.06809964932829128
10,0.06809953314942559
11,0.06809938933281717
12,0.0680992055408009
13,0.06809894498913448
14,0.0680986505892655
15,0.06809822700255948
16,0.0680975849393305
17,0.06809631273184169
18,0.06809426429191391
19,0.06809251635158073
20,0.06808887469869015
21,0.06808595042027303
22,0.06808331879032171
23,0.06808045619967013
24,0.06807799238064946
25,0.06807415878982508
26,0.06806792061847647
27,0.06806600774343885
28,0.06806517421687093
29,0.06806466468724891
30,0.06806381075162855
31,0.06806242786325083
32,0.06805646544031316
33,0.06804640124116355
34,0.06804125186128891
35,0.06803788927986743
36,0.0680337877846569
37,0.06802460112176101
38,0.0680179314743537
39,0.06801627531618837
40,0.0680154473791534
41,0.06801501606745018
42,0.06801458009389542
43,0.06801276365325504
44,0.06800781248526838
45,0.06800113124442056
46,0.0679961646709082
47,0.06799464505418057
48,0.06799269102925115
49,0.06798906139978209
50,0.06798697826302398
51,0.0679858729359627
52,0.06798519173828937
53,0.06798495303198787
54,0.06798486820549969
55,0.06798483564240443
56,0.06798482895077271
57,0.0679848278545752
