,Temp,time,X_O2
23,1100.0,4.740879e-11,0.045
35,1100.0,2.1485680000000002e-08,0.045
47,1100.0,2.263136e-07,0.045
59,1100.0,5.464206e-07,0.045
71,1100.0,8.345169e-07,0.045
83,1100.0,1.6333430000000002e-06,0.045
95,1100.0,2.370466e-06,0.04499999
107,1100.0,3.401282e-06,0.04499999
119,1100.0,4.893705e-06,0.04499998
131,1100.0,6.535586e-06,0.04499998
143,1100.0,1.065285e-05,0.04499997
155,1100.0,1.4392029999999999e-05,0.04499996
167,1100.0,1.81312e-05,0.04499995
179,1100.0,2.217719e-05,0.04499993
191,1100.0,3.687608e-05,0.04499989
203,1100.0,5.291292e-05,0.04499984
215,1100.0,6.593732e-05,0.0449998
227,1100.0,0.0001157743,0.04499965
239,1100.0,0.0002636055,0.04499918
251,1100.0,0.0005252218,0.0449983
263,1100.0,0.0009961312,0.04499652
275,1100.0,0.0016057329999999998,0.04499393
287,1100.0,0.002215335,0.04499111
299,1100.0,0.002760784,0.04498845
311,1100.0,0.0032545609999999996,0.04498594
323,1100.0,0.0037483390000000003,0.04498336
335,1100.0,0.004493155,0.04497933
347,1100.0,0.005163221,0.04497564
359,1100.0,0.005775853,0.04497209
371,1100.0,0.007047446999999999,0.04496472
383,1100.0,0.008768751,0.04495443
395,1100.0,0.01025345,0.04494527
407,1100.0,0.0116168,0.04493672
419,1100.0,0.0165493,0.04490448
431,1100.0,0.02577943,0.04484026
443,1100.0,0.03240023,0.04479193
455,1100.0,0.04352622,0.04470729
467,1100.0,0.05957822,0.04457644
479,1100.0,0.0713146,0.04447415
491,1100.0,0.08102384,0.04438609
503,1100.0,0.08955453,0.04430513
515,1100.0,0.09808522,0.04422283
527,1100.0,0.1057628,0.04414403
539,1100.0,0.1134405,0.04406474
551,1100.0,0.1211181,0.04397882
563,1100.0,0.131872,0.04385849
575,1100.0,0.1429498,0.04372503
587,1100.0,0.1530291,0.04359399
599,1100.0,0.1596396,0.04350806
611,1100.0,0.1661809,0.04342302
623,1100.0,0.1727222,0.04333798
635,1100.0,0.1912882,0.04309404
647,1100.0,0.2,0.04296748
659,1100.0,0.2223479,0.04260865
671,1100.0,0.2412369,0.04230536
683,1100.0,0.2582621,0.04201083
695,1100.0,0.2807826,0.04159463
707,1100.0,0.3064233,0.04108201
719,1100.0,0.3320641,0.04054123
731,1100.0,0.3577049,0.03994768
743,1100.0,0.3833457,0.03932064
755,1100.0,0.4,0.03891336
767,1100.0,0.4208565,0.03832298
779,1100.0,0.4357864,0.03790037
791,1100.0,0.4480503,0.03755322
803,1100.0,0.4603142,0.03717165
815,1100.0,0.4725781,0.0367827
827,1100.0,0.484842,0.03638623
839,1100.0,0.4971059,0.0359625
851,1100.0,0.5134695,0.03538763
863,1100.0,0.5282172,0.03483958
875,1100.0,0.5399487,0.03438356
887,1100.0,0.5611773,0.03352156
899,1100.0,0.5846405,0.03248342
911,1100.0,0.6,0.03179213
923,1100.0,0.6237457,0.03059458
935,1100.0,0.6472089,0.02939196
947,1100.0,0.6693313,0.02816798
959,1100.0,0.6904481,0.02694284
971,1100.0,0.708133,0.02587958
983,1100.0,0.7204718,0.02513668
995,1100.0,0.7316941,0.02445255
1007,1100.0,0.7429165,0.02376948
1019,1100.0,0.7541388,0.02309
1031,1100.0,0.7653612,0.02241861
1043,1100.0,0.7765835,0.0217583
1055,1100.0,0.7878059,0.02112024
1067,1100.0,0.8,0.02043428
1079,1100.0,0.8198163,0.01939538
1091,1100.0,0.8379965,0.0185205
1103,1100.0,0.8561767,0.01775097
1115,1100.0,0.874357,0.01704832
1127,1100.0,0.8925372,0.01642578
1139,1100.0,0.9106308,0.01587727
1151,1100.0,0.926993,0.01546643
1163,1100.0,0.9433552,0.01510133
1175,1100.0,0.9597174,0.01481133
1187,1100.0,0.9760796,0.01452133
1199,1100.0,0.9924418,0.01429901
1211,1100.0,1.0,0.01420217
1223,1100.0,1.0165950000000001,0.01404846
1235,1100.0,1.032958,0.01390136
1247,1100.0,1.04932,0.01380068
1259,1100.0,1.065682,0.01374164
1271,1100.0,1.082044,0.0136965
1283,1100.0,1.098406,0.01365136
1295,1100.0,1.1147690000000001,0.01365775
1307,1100.0,1.1311309999999999,0.01367821
1319,1100.0,1.147493,0.01369867
1331,1100.0,1.1638549999999999,0.01373599
1343,1100.0,1.180217,0.01380277
1355,1100.0,1.19658,0.01386957
1367,1100.0,1.2,0.01388405
1379,1100.0,1.2168379999999999,0.01398273
1391,1100.0,1.2332,0.01407862
1403,1100.0,1.249562,0.01418681
1415,1100.0,1.265924,0.01430237
1427,1100.0,1.282286,0.01442538
1439,1100.0,1.298649,0.01455362
1451,1100.0,1.3150110000000002,0.0146898
1463,1100.0,1.331373,0.01482858
1475,1100.0,1.3477350000000001,0.01497405
1487,1100.0,1.364097,0.01511952
1499,1100.0,1.380459,0.01526799
1511,1100.0,1.396822,0.01541926
1523,1100.0,1.4,0.01544864
1535,1100.0,1.41708,0.01561123
1547,1100.0,1.433442,0.01576698
1559,1100.0,1.449804,0.01592273
1571,1100.0,1.466166,0.01607848
1583,1100.0,1.482528,0.01623424
1595,1100.0,1.498891,0.01639005
1607,1100.0,1.515253,0.01654598
1619,1100.0,1.531615,0.01670191
1631,1100.0,1.547977,0.01685784
1643,1100.0,1.564339,0.01701377
1655,1100.0,1.580702,0.01716928
1667,1100.0,1.597064,0.01732281
1679,1100.0,1.6,0.01735036
1691,1100.0,1.616543,0.01750253
1703,1100.0,1.633684,0.01766021
1715,1100.0,1.8,0.01911206
1727,1100.0,2.0,0.02059667
1739,1100.0,2.2,0.02175263
1751,1100.0,2.4,0.02255764
1763,1100.0,2.6,0.02300587
1775,1100.0,2.8,0.02310574
1787,1100.0,3.0,0.02288214
1799,1100.0,3.2,0.02238244
1811,1100.0,3.4,0.02168685
1823,1100.0,3.6,0.02092103
1835,1100.0,3.8,0.02025335
1847,1100.0,4.0,0.01984297
1859,1100.0,4.2,0.01975937
1871,1100.0,4.4,0.01995842
1883,1100.0,4.6,0.02033164
1895,1100.0,4.8,0.02076558
1907,1100.0,5.0,0.0211715
1919,1100.0,5.2,0.02149085
1931,1100.0,5.4,0.02169154
1943,1100.0,5.6,0.02176343
1955,1100.0,5.8,0.02171502
1967,1100.0,6.0,0.02157076
1979,1100.0,6.181816,0.02138623
1991,1100.0,6.2,0.02136778
2003,1100.0,6.4,0.02115046
2015,1100.0,6.6,0.0209622
2027,1100.0,6.7640720000000005,0.02085869
2039,1100.0,6.8,0.02083602
2051,1100.0,6.904348,0.02081061
2063,1100.0,7.0,0.02078732
2075,1100.0,7.149628999999999,0.02080619
2087,1100.0,7.2,0.02081254
2099,1100.0,7.284491,0.02084673
2111,1100.0,7.355232000000001,0.02087536
2123,1100.0,7.4,0.02089348
2135,1100.0,7.577814999999999,0.02099233
2147,1100.0,7.6,0.02100466
2159,1100.0,7.7408399999999995,0.0210861
2171,1100.0,7.8,0.02112031
2183,1100.0,7.898936999999999,0.0211692
2195,1100.0,7.985794,0.02121212
2207,1100.0,8.0,0.02121914
2219,1100.0,8.081721,0.02124684
2231,1100.0,8.15363,0.02127121
2243,1100.0,8.2,0.02128692
2255,1100.0,8.4,0.02131718
2267,1100.0,8.573436000000001,0.02131166
2279,1100.0,8.6,0.02131081
2291,1100.0,8.8,0.02127473
2303,1100.0,8.976133,0.02122655
2315,1100.0,9.0,0.02122002
2327,1100.0,9.162604,0.02117081
2339,1100.0,9.2,0.02115949
2351,1100.0,9.379437,0.02111077
2363,1100.0,9.4,0.02110519
2375,1100.0,9.6,0.02106621
2387,1100.0,9.8,0.02104734
2399,1100.0,10.0,0.02104876
2411,1100.0,10.2,0.02106676
2423,1100.0,10.4,0.02109522
2435,1100.0,10.6,0.02112715
2447,1100.0,10.8,0.02115619
2459,1100.0,11.0,0.02117761
2471,1100.0,11.2,0.02118883
2483,1100.0,11.4,0.02118954
2495,1100.0,11.6,0.02118132
2507,1100.0,11.8,0.02116712
2519,1100.0,12.0,0.02115049
2531,1100.0,12.2,0.02113486
2543,1100.0,12.4,0.02112292
2555,1100.0,12.6,0.02111625
2567,1100.0,12.8,0.0211152
2579,1100.0,13.0,0.02111903
2591,1100.0,13.2,0.02112621
2603,1100.0,13.4,0.0211349
2615,1100.0,13.6,0.02114324
2627,1100.0,13.8,0.02114979
2639,1100.0,14.0,0.02115367
2651,1100.0,14.2,0.0211546
2663,1100.0,14.4,0.02115291
2675,1100.0,14.5893,0.02114953
2687,1100.0,14.6,0.02114934
2699,1100.0,14.79074,0.02114505
2711,1100.0,14.8,0.02114484
2723,1100.0,15.0,0.02114039
2735,1100.0,15.2,0.02113679
2747,1100.0,15.4,0.02113455
2759,1100.0,15.6,0.02113386
2771,1100.0,15.8,0.02113459
2783,1100.0,16.0,0.02113636
2795,1100.0,16.2,0.02113869
2807,1100.0,16.4,0.02114105
2819,1100.0,16.6,0.02114301
2831,1100.0,16.8,0.02114428
2843,1100.0,17.0,0.02114475
2855,1100.0,17.2,0.02114446
2867,1100.0,17.4,0.02114359
2879,1100.0,17.6,0.0211424
2891,1100.0,17.8,0.02114115
2903,1100.0,18.0,0.02114008
2915,1100.0,18.2,0.02113936
2927,1100.0,18.36465,0.0211391
2939,1100.0,18.4,0.02113905
2951,1100.0,18.531589999999998,0.02113912
2963,1100.0,18.6,0.02113916
2975,1100.0,18.70575,0.02113938
2987,1100.0,18.8,0.02113958
2999,1100.0,19.0,0.02114019
3011,1100.0,19.15997,0.02114072
3023,1100.0,19.2,0.02114085
3035,1100.0,19.38554,0.02114139
3047,1100.0,19.4,0.02114143
3059,1100.0,19.52692,0.02114169
3071,1100.0,19.6,0.02114184
3083,1100.0,19.8,0.02114202
3095,1100.0,19.96627,0.021142
3107,1100.0,20.0,0.021142
